Betreuungsbezirk Nr,Betreuungsbezirk,Einrichtungsnummer,Einrichtungsname,Einrichtungsadresse,PLZ,Telefon,Anzahl Plätze,Einrichtungsart,Trägernummer,Trägername,Trägerart,Anschrift,Latitude,Longitude
7,Tempelhof-Schöneberg,7130230,Kita Ringbahnstr. 47/Kitas Süd-West,Ringbahnstr. 047,12099,290276150,183.0,Kindertagesstätte,123,Kindertagesstätten Berlin Süd-West,Eigenbetrieb,"Ringbahnstr. 047, 12099, Berlin",52.4685705,13.386872
7,Tempelhof-Schöneberg,7130260,Ev. Kita Alt-Tempelhof,Albrechtstr. 105- 106,12103,7523967,164.0,Kindertagesstätte,8758,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin-Mitte-West (Kitaverband Mitte-West),Diakonisches Werk,"Albrechtstr. 105- 106, 12103, Berlin",52.4609792,13.3830981
7,Tempelhof-Schöneberg,7130270,Kita der Ev. Kirchengem. Lichtenrade,Alt-Lichtenrade 107,12309,745 80 04,113.0,Kindertagesstätte,233,Ev. Kirchengemeinde Lichtenrade,Diakonisches Werk,"Alt-Lichtenrade 107, 12309, Berlin",52.392030950000006,13.411387878910872
7,Tempelhof-Schöneberg,7130300,Ev. Kita Paulus I.,Götzstr. 028,12099,75683872,70.0,Kindertagesstätte,8758,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin-Mitte-West (Kitaverband Mitte-West),Diakonisches Werk,"Götzstr. 028, 12099, Berlin",52.4648082,13.3855323
7,Tempelhof-Schöneberg,7130310,Kita der Ev. Kirchengem. Berlin Mariendorf-Süd,Grimmingweg 001B,12107,741 30 10,106.0,Kindertagesstätte,203,Ev. Kirchengemeinde Berlin Mariendorf-Süd,Diakonisches Werk,"Grimmingweg 001B, 12107, Berlin",52.4209002,13.394678
7,Tempelhof-Schöneberg,7130320,Ev. Dreikönigs Kita,Kirchstr. 031,12277,7212354,65.0,Kindertagesstätte,8758,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin-Mitte-West (Kitaverband Mitte-West),Diakonisches Werk,"Kirchstr. 031, 12277, Berlin",52.4223607,13.3749383
7,Tempelhof-Schöneberg,7130330,Kita der Ev. Kirchengem. Berlin-Mariendorf,Rathausstr. 028,12105,706 33 09,100.0,Kindertagesstätte,204,Ev. Kirchengemeinde Berlin-Mariendorf,Diakonisches Werk,"Rathausstr. 028, 12105, Berlin",52.4410111,13.3812649
7,Tempelhof-Schöneberg,7130340,Kita der Ev. Kirchengem. Mariendorf -Ost,Rixdorfer Str. 073,12109,703 69 25,165.0,Kindertagesstätte,292,Ev. Kirchengemeinde Mariendorf-Ost,Diakonisches Werk,"Rixdorfer Str. 073, 12109, Berlin",52.4451159,13.4004033
7,Tempelhof-Schöneberg,7130350,Kita der Kath. Kirchengemeinde,Bäumerplan 023,12101,7864895,45.0,Kindertagesstätte,342,Kath. Kirchengemeinde Herz Jesu,Deutscher Caritasverband,"Bäumerplan 023, 12101, Berlin",52.4768314,13.3753717
7,Tempelhof-Schöneberg,7130360,Kita St. Alfons,Emilienstr. 009,12277,722 70 61,65.0,Kindertagesstätte,343,Kath. Kirchengemeinde Vom Guten Hirten,Deutscher Caritasverband,"Emilienstr. 009, 12277, Berlin",52.4241488,13.3698543
